,title,tagline,overview,genres,popularity,description
2546,The Skulls,Getting in is easy. Getting out is a killer.,"Luke's exultance at being selected for The Skulls (a secret society bred within the walls of a prominent Ivy League Campus) is soon overshadowed when he realises that all is 'not well in Wonderland'. For The Skulls is a breeding ground for the future powerful and elite. It's not only a far cry from his working class background, but it also hallows its own deep and dark secrets.","[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",11.375032000000001,getting easy getting killer lukes exultance selected skulls secret society bred within walls prominent ivy league campus soon overshadowed realises well wonderland skulls breeding ground future powerful elite far cry working class background also hallows deep dark secrets
2547,The Theory of Everything,His Mind Changed Our World. Her Love Changed His.,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",61.182331000000005,mind changed world love changed theory everything extraordinary story one worlds greatest living minds renowned astrophysicist stephen hawking falls deeply love fellow cambridge student jane wilde
2548,Malibu's Most Wanted,,"Bill Gluckman, a wealthy white Jewish senator is running for the office of Governor. His son ""B-Rad"" dresses, speaks, and acts as if he were a gangster from the inner city. The campaign team members hire two actors, who don't know any more about inner-city life than B-Rad, to act as gang members, kidnap him, and take him to South Central Los Angeles where they hope Brad will be ""scared white"".","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",7.314796,bill gluckman wealthy white jewish senator running office governor son brad dresses speaks acts gangster inner city campaign team members hire two actors dont know innercity life brad act gang members kidnap take south central los angeles hope brad scared white
2549,Where the Heart Is,Laughter is harder... Friendship is stronger... Trust is deeper... When it comes from the heart.,"Novalee Nation is a 17-year-old Tennessee transient who has to grow up in a hurry when she's left pregnant and abandoned by her boyfriend on a roadside in Sequoyah, Okla., and takes refuge in the friendly aisles of Wal-Mart. In short order, some eccentric, kindly strangers ""adopt"" Novalee and her infant daughter, helping them buck the odds and build a new life.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.8579229999999995,laughter harder friendship stronger trust deeper comes heart novalee nation 17yearold tennessee transient grow hurry shes left pregnant abandoned boyfriend roadside sequoyah okla takes refuge friendly aisles walmart short order eccentric kindly strangers adopt novalee infant daughter helping buck odds build new life
2550,Lawrence of Arabia,,"An epic about British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",41.286336,epic british officer te lawrences mission aid arab tribes revolt ottoman empire first world war lawrence becomes flamboyant messianic figure cause arab unity psychological instability threatens undermine achievements
2551,Halloween II,Family Is Forever,"Laurie Strode struggles to come to terms with her brother Micheal's deadly return to Haddonfield, Illinois; meanwhile, Michael prepares for another reunion with his sister.","[{""id"": 27, ""name"": ""Horror""}]",12.929525,family forever laurie strode struggles come terms brother micheals deadly return haddonfield illinois meanwhile michael prepares another reunion sister
2552,Wild,,A woman with a tragic past decides to start her new life by hiking for one thousand miles on the Pacific Crest Trail.,"[{""id"": 18, ""name"": ""Drama""}]",42.952942,woman tragic past decides start new life hiking one thousand miles pacific crest trail
2553,The Last House on the Left,"If someone hurt someone you love, how far would you go to get revenge?","A group of teenage girls heading into the city hook up with a gang of drug-addled ne'er-do-wells and are brutally murdered. The killers find their way to the home of one of their victim's parents, where both father and mother exact a horrible revenge.","[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 18, ""name"": ""Drama""}]",19.760382999999997,someone hurt someone love far would go get revenge group teenage girls heading city hook gang drugaddled neerdowells brutally murdered killers find way home one victims parents father mother exact horrible revenge
2554,The Wedding Date,Love doesn't come cheap.,"With the wedding of her younger sister fast approaching, Kat Ellis faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey, the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort as her date.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",10.194097,love doesnt come cheap wedding younger sister fast approaching kat ellis faces undesirable prospect traveling alone london ceremony bad enough jeffrey man left moved closer marriage happens grooms best man determined show everyone jeffrey romantic life full thrilling ever kat hires charming male escort date
2555,Halloween: Resurrection,Evil finds its way home,"Serial Killer Michael Myers is not finished with Laurie Strode, and their rivalry finally comes to an end. But is this the last we see of Myers? Freddie Harris and Nora Winston are reality programmers at DangerTainment, and are planning to send a group of 6 thrill-seeking teenagers into the childhood home of Myers. Cameras are placed all over the house and no one can get out of the house... and then Michael arrives home!","[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",11.045592999999998,evil finds way home serial killer michael myers finished laurie strode rivalry finally comes end last see myers freddie harris nora winston reality programmers dangertainment planning send group 6 thrillseeking teenagers childhood home myers cameras placed house one get house michael arrives home
2556,The Princess Bride,It's as real as the feelings you feel.,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",44.533612,real feelings feel enchantingly cracked fairy tale beautiful princess buttercup dashing westley must overcome staggering odds find happiness amid sixfingered swordsmen murderous princes sicilians rodents unusual size even death cant stop true lovebirds triumphing
2557,The Great Debaters,"When the nation was in need, he inspired them to give us hope.",The true story of a brilliant but politically radical debate team coach who uses the power of words to transform a group of underdog African American college students into an historical powerhouse that took on the Harvard elite.,"[{""id"": 18, ""name"": ""Drama""}]",10.84158,nation need inspired give us hope true story brilliant politically radical debate team coach uses power words transform group underdog african american college students historical powerhouse took harvard elite
2558,Drive,There are no clean getaways.,A Hollywood stunt performer who moonlights as a wheelman for criminals discovers that a contract has been put on him after a heist gone wrong.,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",49.294864000000004,clean getaways hollywood stunt performer moonlights wheelman criminals discovers contract put heist gone wrong
2559,Confessions of a Teenage Drama Queen,She's making a scene over everything.,"When the teenager Mary Elizabeth Steppe, a.k.a. Lola, moves with her mother and two younger twin sisters from New York to the suburb of Dellwood, New Jersey, she has the feeling that her cultural and entertaining world ended. While in school, the displaced Lola becomes close friend of the unpopular Ella, who is also a great fan of the her favorite rock band Sidarthur. However, the most popular girl in the school, Carla Santini, disputes the lead role in an adaptation of Pygmalion with Lola and also the leadership of their mates. When the last concert of Sidarthur is sold-out, Lola plans with Ella to travel to New York and buy the tickets from scalpers. However, the girls get into trouble while helping the lead singer and Lola's idol Stu Wolf, changing their lives forever.","[{""id"": 35, ""name"": ""Comedy""}]",7.424798,shes making scene everything teenager mary elizabeth steppe aka lola moves mother two younger twin sisters new york suburb dellwood new jersey feeling cultural entertaining world ended school displaced lola becomes close friend unpopular ella also great fan favorite rock band sidarthur however popular girl school carla santini disputes lead role adaptation pygmalion lola also leadership mates last concert sidarthur soldout lola plans ella travel new york buy tickets scalpers however girls get trouble helping lead singer lolas idol stu wolf changing lives forever
2560,The Object of My Affection,Sometimes The Most Desirable Relationship Is The One You Can't Have,"A pregnant New York social worker begins to develop romantic feelings for her gay best friend, and decides she'd rather raise her child with him, much to the dismay of her overbearing boyfriend.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",5.164281,sometimes desirable relationship one cant pregnant new york social worker begins develop romantic feelings gay best friend decides shed rather raise child much dismay overbearing boyfriend
2561,28 Weeks Later,When days turn to weeks... the horror returns.,"In this chilling sequel to 28 Days Later, the inhabitants of the British Isles appear to have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.","[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",34.759855,days turn weeks horror returns chilling sequel 28 days later inhabitants british isles appear lost battle onslaught disease deadly rage virus killed every citizen six months later group americans dare set foot isles convinced danger come gone soon becomes clear scourge continues live waiting pounce next victims
2562,When the Game Stands Tall,"Its Not How Hard You Fall, Its How You Get Back Up",A young coach turns a losing high school football program around to go undefeated for 12 consecutive seasons.,"[{""id"": 18, ""name"": ""Drama""}]",7.297757000000001,hard fall get back young coach turns losing high school football program around go undefeated 12 consecutive seasons
2563,Because of Winn-Dixie,Discover what happens when you go looking for a miracle and a miracle comes looking for you.,"A girl, abandoned by her mother when she was three, moves to a small town in Florida with her father. There, she adopts an orphaned dog she names Winn-Dixie. The bond between the girl and her special companion brings together the people in a small Florida town and heals her own troubled relationship with her father.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",3.334804,discover happens go looking miracle miracle comes looking girl abandoned mother three moves small town florida father adopts orphaned dog names winndixie bond girl special companion brings together people small florida town heals troubled relationship father
2564,Love & Basketball,All's fair in love and basketball.,"A young African-American couple navigates the tricky paths of romance and athletics in this drama. Quincy McCall (Omar Epps) and Monica Wright (Sanaa Lathan) grew up in the same neighborhood and have known each other since childhood. As they grow into adulthood, they fall in love, but they also share another all-consuming passion: basketball. They've followed the game all their lives and have no small amount of talent on the court. As Quincy and Monica struggle to make their relationship work, they follow separate career paths though high school and college basketball and, they hope, into stardom in big-league professional ball.","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2.027393,alls fair love basketball young africanamerican couple navigates tricky paths romance athletics drama quincy mccall omar epps monica wright sanaa lathan grew neighborhood known since childhood grow adulthood fall love also share another allconsuming passion basketball theyve followed game lives small amount talent court quincy monica struggle make relationship work follow separate career paths though high school college basketball hope stardom bigleague professional ball
2565,Grosse Pointe Blank,Even a hit man deserves a second shot.,"Martin Blank is a freelance hitman who starts to develop a conscience, which causes him to muff a couple of routine assignments. On the advice of his secretary and his psychiatrist, he attends his 10th year High School reunion in Grosse Pointe, Michigan.","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10749, ""name"": ""Romance""}]",13.817269,even hit man deserves second shot martin blank freelance hitman starts develop conscience causes muff couple routine assignments advice secretary psychiatrist attends 10th year high school reunion grosse pointe michigan
2566,All About Steve,A Comedy That Clings,"After one short date, a brilliant crossword constructor decides that a CNN cameraman is her true love. Because the cameraman's job takes him hither and yon, she crisscrosses the country, turning up at media events as she tries to convince him they are perfect for each other.","[{""id"": 35, ""name"": ""Comedy""}]",13.237835,comedy clings one short date brilliant crossword constructor decides cnn cameraman true love cameramans job takes hither yon crisscrosses country turning media events tries convince perfect
2567,Book of Shadows: Blair Witch 2,Evil Doesn't Die.,"Young adults become fascinated by the events of the three missing filmmakers in Maryland, so they decide to go into the same woods and find out what really happened.","[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",3.890223,evil doesnt die young adults become fascinated events three missing filmmakers maryland decide go woods find really happened
2568,The Craft,Welcome to the witching hour.,"A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",19.517239,welcome witching hour catholic school newcomer falls clique teen witches wield powers dare cross teachers rivals meddlesome parents
2569,Match Point,Passion Temptation Obsession,"Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",30.669913,passion temptation obsession match point woody allens satire british high society ambition young tennis instructor enter yet must decide two women one assuring place high society would bring far palms start sweat dark psychological match head begins
2570,Ramona and Beezus,A Little Sister Goes A Long Way.,"Ramona is a little girl with a very big imagination and a nose for mischief. Her playful antics keep everyone in her loving family on their toes, including her older sister Beezus, who's just trying to survive her first year of high school. Through all the ups and downs of childhood, Ramona and Beezus learn that anything's possible when you believe in yourself and rely on each other.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",9.681147,little sister goes long way ramona little girl big imagination nose mischief playful antics keep everyone loving family toes including older sister beezus whos trying survive first year high school ups downs childhood ramona beezus learn anythings possible believe rely
2571,The Remains of the Day,Diamond in the Rough,A rule bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",15.355589000000002,diamond rough rule bound head butlers world manners decorum household maintains tested arrival housekeeper falls love postwwi britain possibility romance masters cultivation ties nazi cause challenge carefully maintained veneer servitude
2572,Boogie Nights,"The life of a dreamer, the days of a business, and the nights in between.","Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.","[{""id"": 18, ""name"": ""Drama""}]",19.85579,life dreamer days business nights set 1977 back sex safe pleasure business business booming idealistic porn producer jack horner aspires elevate craft art form horner discovers eddie adams hot young talent working busboy nightclub welcomes extended family moviemakers misfits hangerson always around adams rise nobody celebrity adult entertainer meteoric soon whole world seems know porn alter ego dirk diggler disco drugs vogue fashion flux party never seems stop adams dreams turning sex stardom collide cold hard reality
2573,Nowhere to Run,"When the law can't protect the innocent,  the only hero left is an outlaw.",Escaped convict Sam Gillen single handedly takes on ruthless developers determined to evict Clydie - a widow with two young children. Nobody knows who Sam is.,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",11.689337,law cant protect innocent hero left outlaw escaped convict sam gillen single handedly takes ruthless developers determined evict clydie widow two young children nobody knows sam
2574,Flicka,,"A headstrong 16 year old Katy McLaughlin desires to work on her family's mountainside horse ranch, although her father insists she finish boarding school. Katy finds a mustang in the hills near her ranch. Katy then sets her mind to tame a mustang and prove to her father she can run the ranch. But when tragedy happens, it will take all the love and strength the family can muster to restore hope.","[{""id"": 18, ""name"": ""Drama""}]",3.043589,headstrong 16 year old katy mclaughlin desires work familys mountainside horse ranch although father insists finish boarding school katy finds mustang hills near ranch katy sets mind tame mustang prove father run ranch tragedy happens take love strength family muster restore hope
2575,The Hills Have Eyes 2,Help isn't coming.,A group of National Guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert.,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",17.141376,help isnt coming group national guard trainees find battling vicious group mutants last day training desert
2576,Urban Legends: Final Cut,Legends Never Die.,"The making of a horror movie takes on a terrifying reality for students at the most prestigious film school in the country in 'Urban Legends: Final Cut', the suspenseful follow up to the smash hit 'Urban Legend'. At Alpine University, someone is determined to win the best film award at any cost - even if it means eliminating the competition. No one is safe and everyone is a suspect. 'Urban Legends: Final Cut' is an edge-of-your-seat thriller that will keep you guessing until the shocking climax.","[{""id"": 27, ""name"": ""Horror""}]",8.885017,legends never die making horror movie takes terrifying reality students prestigious film school country urban legends final cut suspenseful follow smash hit urban legend alpine university someone determined win best film award cost even means eliminating competition one safe everyone suspect urban legends final cut edgeofyourseat thriller keep guessing shocking climax
2577,Tuck Everlasting,"If you could choose to live forever, would you?","Natalie Babbitt's award winning book for children comes to the screen in a lavish adaptation from Walt Disney Pictures. Winnie Foster (Alexis Bledel) is a girl in her early teens growing up in the small rural town of Winesap in 1914. Winnie's parents (Victor Garber and Amy Irving) are loving but overprotective, and Winnie longs for a life of greater freedom and adventure.","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10751, ""name"": ""Family""}]",4.115398,could choose live forever would natalie babbitts award winning book children comes screen lavish adaptation walt disney pictures winnie foster alexis bledel girl early teens growing small rural town winesap 1914 winnies parents victor garber amy irving loving overprotective winnie longs life greater freedom adventure
2578,The Marine,War is Fine But The Fight Continues,A group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the South Carolinian wilderness to retrieve her.,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",7.679336,war fine fight continues group diamond thieves run kidnap wife recently discharged marine goes chase south carolinian wilderness retrieve
2579,Keanu,"Kitten, please.",Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang.,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",18.268009,kitten please friends hatch plot retrieve stolen cat posing drug dealers street gang
2580,Country Strong,It doesn't matter where you've been as long as you come back strong.,"Soon after the rising young singer-songwriter Beau Williams gets involved with a fallen, emotionally unstable country star Kelly Canter, the pair embark on a career resurrection tour helmed by her husband/manager James and featuring a beauty queen-turned-singer Chiles Stanton. Between concerts, romantic entanglements and old demons threaten to derail them all.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.809701,doesnt matter youve long come back strong soon rising young singersongwriter beau williams gets involved fallen emotionally unstable country star kelly canter pair embark career resurrection tour helmed husbandmanager james featuring beauty queenturnedsinger chiles stanton concerts romantic entanglements old demons threaten derail
2581,Disturbing Behavior,In Cradle Bay it doesn’t matter if you’re not perfect.  You will be.,"Steve Clark (James Marsden) is a newcomer in the town of Cradle Bay, and he quickly realizes that there's something odd about his high school classmates. The clique known as the ""Blue Ribbons"" are the eerie embodiment of academic excellence and clean living. But, like the rest of the town, they're a little too perfect. When Steve's rebellious friend Gavin (Nick Stahl) mysteriously joins their ranks, Steve searches for the truth with fellow misfit Rachel (Katie Holmes).","[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",9.378688,cradle bay doesnt matter youre perfect steve clark james marsden newcomer town cradle bay quickly realizes theres something odd high school classmates clique known blue ribbons eerie embodiment academic excellence clean living like rest town theyre little perfect steves rebellious friend gavin nick stahl mysteriously joins ranks steve searches truth fellow misfit rachel katie holmes
2582,The Place Beyond the Pines,If you ride like lightning you're gonna crash like thunder,"A motorcycle stunt rider considers committing a crime in order to provide for his wife and child, an act that puts him on a collision course with a cop-turned-politician.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",35.395129,ride like lightning youre gon na crash like thunder motorcycle stunt rider considers committing crime order provide wife child act puts collision course copturnedpolitician
2583,The November Man,A spy is never out of the game.,An ex- CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",45.317278,spy never game ex cia operative brought back personal mission finds pitted former pupil deadly game involving high level cia officials russian presidentelect
2584,Eye of the Beholder,Obsession is in the eye of the beholder.,"A reclusive surveillance expert is hired to spy on a mysterious blackmailer, who just may be a serial killer.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",4.302941000000001,obsession eye beholder reclusive surveillance expert hired spy mysterious blackmailer may serial killer
2585,The Hurt Locker,You'll know when you're in it.,"Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",47.006161999999996,youll know youre forced play dangerous game catandmouse chaos war elite army bomb squad unit must come together city everyone potential enemy every object could deadly bomb
2586,Firestarter,Will she have the power... to survive?,"As youths, Andy McGee (David Keith) and his future wife, Vicky (Heather Locklear), participated in secret experiments, allowing themselves to be subjected to mysterious medical tests. Years later, the couple's daughter, Charlie (Drew Barrymore), begins to exhibit the ability of setting fires solely with her mind. This volatile talent makes the youngster extremely dangerous and soon she becomes a target for the enigmatic agency known as ""The Shop.""","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",11.379652,power survive youths andy mcgee david keith future wife vicky heather locklear participated secret experiments allowing subjected mysterious medical tests years later couples daughter charlie drew barrymore begins exhibit ability setting fires solely mind volatile talent makes youngster extremely dangerous soon becomes target enigmatic agency known shop
2587,Killing Them Softly,In America you're on your own.,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.","[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",24.612603,america youre jackie cogan enforcer hired restore order three dumb guys rob mob protected card game causing local criminal economy collapse
2588,A Most Wanted Man,,"When a half-Chechen, half-Russian, tortured half-to-death immigrant turns up in Hamburg's Islamic community, laying claim to his father's ill gotten fortune, both German and US security agencies take a close interest: as the clock ticks down and the stakes rise, the race is on to establish this most wanted man's true identity - oppressed victim or destruction-bent extremist?","[{""id"": 53, ""name"": ""Thriller""}]",26.708192999999998,halfchechen halfrussian tortured halftodeath immigrant turns hamburgs islamic community laying claim fathers ill gotten fortune german us security agencies take close interest clock ticks stakes rise race establish wanted mans true identity oppressed victim destructionbent extremist
2589,Freddy Got Fingered,A touching story of a young man who desperately wants to make his daddy proud.,"An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy.","[{""id"": 35, ""name"": ""Comedy""}]",8.710294000000001,touching story young man desperately wants make daddy proud unemployed cartoonist moves back parents younger brother freddy parents demand leave begins spread rumors father sexually abusing freddy
2590,VeggieTales: The Pirates Who Don't Do Anything,,"Set Sail For Adventure! A boatload of beloved VeggieTales pals embark on a fun and fresh pirate adventure with their trademark humor and silly songs in The Pirates Who Don't Do Anything - A VeggieTales Movie! Larry the Cucumber, Mr. Lunt and Pa Grape find themselves on the ride of their lives when they are mysteriously whisked back to the time when pirates ruled the high seas.","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",1.8001189999999998,set sail adventure boatload beloved veggietales pals embark fun fresh pirate adventure trademark humor silly songs pirates dont anything veggietales movie larry cucumber mr lunt pa grape find ride lives mysteriously whisked back time pirates ruled high seas
2591,U2 3D,Hear See Experience,"A 3-D presentation of U2's global ""Vertigo"" tour. Shot at seven different shows, this production employs the greatest number of 3-D cameras ever used for a single project.","[{""id"": 10402, ""name"": ""Music""}, {""id"": 99, ""name"": ""Documentary""}]",0.33519499999999997,hear see experience 3d presentation u2s global vertigo tour shot seven different shows production employs greatest number 3d cameras ever used single project
2592,Highlander: Endgame,"It will take two immortals to defeat the ultimate evil. But in the end, there can be only one.","Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?","[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",11.782725,take two immortals defeat ultimate evil end one immortals connor duncan macleod join forces man connors distant past highlands scotland kell immensely powerful immortal leads army equally powerful deadly immortal swordsmen assassins immortal alive able defeat kell yet neither connor duncan skilled enough take live two eventually come one inevitable conclusion one must die combined power highlanders bring kell good one question
2593,Idlewild,,"A musical set in the Prohibition-era American South, where a speakeasy performer and club manager Rooster must contend with gangsters who have their eyes on the club while his piano player and partner Percival must choose between his love, Angel or his obligations to his father.","[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",2.711955,musical set prohibitionera american south speakeasy performer club manager rooster must contend gangsters eyes club piano player partner percival must choose love angel obligations father
2594,One Day,Twenty years. Two people.,"A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",16.629173,twenty years two people romantic comedy centered dexter emma first meet graduation 1988 proceed keep touch regularly film follows july 15 annually usually something together
2595,Whip It,Be Your Own Hero,"In Bodeen, Texas, Land Of The Dragon, an indie-rock loving misfit finds a way of dealing with her small-town misery after she discovers a roller derby league in nearby Austin.","[{""id"": 18, ""name"": ""Drama""}]",20.05902,hero bodeen texas land dragon indierock loving misfit finds way dealing smalltown misery discovers roller derby league nearby austin
2596,Knockaround Guys,"If they don't finish the job, their fathers will finish them.",Four sons of well-known New York mobsters must retrieve a bag of cash from a small Montana town ruled by a corrupt sheriff.,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",8.113634,dont finish job fathers finish four sons wellknown new york mobsters must retrieve bag cash small montana town ruled corrupt sheriff
2597,Confidence,It's not about the money. It's about the money.,"What Jake Vig doesn't know just might get him killed. A sharp and polished grifter, Jake has just swindled thousands of dollars from the unsuspecting Lionel Dolby with the help of his crew. It becomes clear that Lionel wasn't just any mark, he was an accountant for eccentric crime boss Winston King. Jake and his crew will have to stay one step ahead of both the criminals and the cops to finally settle their debt.","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",9.874189999999999,money money jake vig doesnt know might get killed sharp polished grifter jake swindled thousands dollars unsuspecting lionel dolby help crew becomes clear lionel wasnt mark accountant eccentric crime boss winston king jake crew stay one step ahead criminals cops finally settle debt
